timer                                                                        ms      calls
SLEEP_pass2                                                                   0          1
STACK_USE                                                                     0          1
STRAY_SEMICOLON                                                               0          1
STREAM_FORMAT_STATE_pass1                                                     0          1
STREAM_FORMAT_STATE_pass2                                                     0          1
STRING_NULL_pass1                                                             0          1
STRING_NULL_pass2                                                             0          1
STRING_OVERFLOW_pass1                                                         0          1
STRING_OVERFLOW_pass2                                                         0          1
STRING_SIZE_pass1                                                             0          1
STRING_SIZE_pass2                                                             0          1
__SQLI_CPP_pass1                                                              0          1
__SQLI_CPP_pass2                                                              0          1
SWAPPED_ARGUMENTS                                                             0          1
TAINTED_SCALAR_pass1                                                          0          1
TAINTED_SCALAR_pass2                                                          0          1
USER_POINTER_pass1                                                            0          1
USER_POINTER_pass2                                                            0          1
TAINTED_STRING_pass1                                                          0          1
TAINTED_STRING_pass2                                                          0          1
TOCTOU_pass1                                                                  0          1
TOCTOU_pass2                                                                  0          1
UNCAUGHT_EXCEPT_INTERNAL                                                      0          1
UNEXPECTED_CONTROL_FLOW                                                       0          1
UNINIT_pass1                                                                  0          1
UNINIT_pass2                                                                  0          1
UNINIT_CTOR_pass1                                                             0          1
UNINIT_CTOR_pass2                                                             0          1
UNINTENDED_GLOBAL                                                             0          1
UNINTENDED_INTEGER_DIVISION                                                   0          1
UNREACHABLE                                                                   0          1
UNRESTRICTED_ACCESS_TO_FILE_PRE                                               0          1
UNSAFE_XML_PARSE_CONFIG_pass1                                                 0          1
UNSAFE_XML_PARSE_CONFIG_pass2                                                 0          1
UNUSED_VALUE                                                                  0          1
__URL_MANIPULATION_CPP_pass1                                                  0          1
__URL_MANIPULATION_CPP_pass2                                                  0          1
__HEADER_INJECTION_CPP_pass1                                                  0          1
__HEADER_INJECTION_CPP_pass2                                                  0          1
USELESS_CALL                                                                  0          1
VARARGS_pass1                                                                 0          1
VARARGS_pass2                                                                 0          1
VIRTUAL_DTOR                                                                  0          1
VOLATILE_ATOMICITY_pass1                                                      0          1
VOLATILE_ATOMICITY_pass2                                                      0          1
WRAPPER_ESCAPE_pass1                                                          1          1
WRAPPER_ESCAPE_pass2                                                          0          1
WRONG_METHOD                                                                  0          1
__XPATH_INJECTION_CPP_pass1                                                   0          1
__XPATH_INJECTION_CPP_pass2                                                   0          1
__XML_EXTERNAL_ENTITY_GO                                                      0          1
FUNCTION_METRICS                                                              0          1
DC.PREDICTABLE_KEY_PASSWORD                                                   0          1
DC.WEAK_CRYPTO                                                                0          1
DC.STREAM_BUFFER                                                              0          1
DC.DEADLOCK                                                                   0          1
DC.DANGEROUS                                                                  0          1
CODEXM_FUNCTIONS_CHECKER_PASS_BEFORE_TUS                                      0          1
DATAFLOW_PREPASS_RESOLUTION_CHECKER                                           0          1
RELAX_ACCESS_DBUFFER                                                          0          1
RELAX_AFM_ALLOC                                                               0          1
RELAX_AFM_FREE                                                                0          1
RELAX_ALLOC                                                                   0          1
RELAX_CLOSE_RESOURCE                                                          0          1
RELAX_CUDA_THREAD_IDX_SOURCE                                                  0          1
RELAX_CUDA_COLLECTIVE_OPERATION_SINK                                          0          1
RELAX_BUFFER_SIZE                                                             0          1
RELAX_CHECKED_RETURN                                                          0          1
RELAX_CUDA_INACTIVE_THREAD_AT_COLLECTIVE_WARP_SINK                            0          1
RELAX_DEREF_ARGS                                                              0          1
RELAX_DIVISOR                                                                 0          1
RELAX_FREED_ARGS                                                              0          1
RELAX_OBJECT_FREED                                                            0          1
RELAX_OBJECT_USED                                                             0          1
RELAX_INDEX_GENERIC                                                           0          1
RELAX_MAYWRITE_NONPTR_FIELDS                                                  0          1
RELAX_ZERO_RETURN                                                             0          1
RELAX_NEGATIVE_RETURN                                                         0          1
RELAX_NEGATIVE_SINK                                                           0          1
RELAX_NULL_RETURN                                                             0          1
RELAX_NEW_ARRAY                                                               0          1
RELAX_DELETE_ARRAY                                                            0          1
RELAX_ITERATOR_RETURNS                                                        0          1
RELAX_ITERATOR_SINKS                                                          0          1
HBM_EQUALSORHASHCODE                                                          0          1
HBM_MAYSETID                                                                  0          1
RELAX_ORM_LOAD                                                                0          1
RELAX_JAVASCRIPT_OPTIONAL_CONSTRUCTOR                                         0          1
RELAX_JAVASCRIPT_THIS_PARAMETER                                               0          1
RELAX_NOTHING                                                                 0          1
RELAX_ASPNET_MVC_VERSION_HEADER                                               0          1
RELAX_DATAFLOW_PRIMITIVES                                                     0          1
RELAX_TAINT                                                                   0          1
RELAX_STRING_SIZE_RETURN                                                      0          1
RELAX_STRING_SIZE_SANITIZE                                                    0          1
RELAX_STRING_SIZE_SINK                                                        0          1
RELAX_STRING_SIZE_SINK_VARARG                                                 0          1
RELAX_STRING_NULL_ARGUMENT                                                    0          1
RELAX_STRING_NULL_RETURN                                                      0          1
RELAX_STRING_NULL_SINK                                                        0          1
RELAX_STRING_NULL_SINK_VARARG                                                 0          1
RELAX_STRING_OVERFLOW                                                         0          1
RELAX_USER_POINTER                                                            0          1
RELAX_CRYPTO_PRIMITIVES                                                       0          1
DERIVE_DYNAMIC_MAP_RW_MODELS                                                  0          1
RELAX_AUTHZ                                                                   0          1
RELAX_CSRF                                                                    0          1
RELAX_BAD_CERT_VERIFICATION                                                   0          1
RELAX_ANDROID_IMPLICIT_INTENT                                                 0          1
RELAX_PREDICTABLE_RANDOM_SEED                                                 0          1
RELAX_INSECURE_COMMUNICATION                                                  0          1
DUMMY_DERIVER_SECURITY                                                        0          1
RELAX_STACK_USE                                                               0          1
RELAX_PARAM_NAMES                                                             0          1
RELAX_BENIGN_CLOSURE                                                          0          1
RELAX_SIDE_EFFECT_FREE                                                        0          1
RELAX_ANDROID_PERMISSIONS                                                     0          1
DUMMY_DERIVER_STACK_USE                                                       0          1
RELAX_MAYWRITE                                                                0          1
RELAX_MAYWRITE_NONPTR_FIELDS_UNINIT                                           0          1
RELAX_READ                                                                    0          1
RELAX_MAYREAD_NONPTR_FIELDS                                                   0          1
RELAX_UNINIT_ALLOC                                                            0          1
DUMMY_DERIVER_UNINIT                                                          0          1
DERIVE_PTR_ARITH                                                              0          1
DUMMY_DERIVER_PTR_ARITH                                                       0          1
RELAX_UNCAUGHT_EXCEPT                                                         0          1
DUMMY_DERIVER_EXCEPTIONS                                                      0          1
CHECKED_RETURN_STAT                                                           0          1
CALL_SUPER_STAT                                                               0          1
ADDR_ARG_STAT                                                                 0          1
BAD_EQ_STAT                                                                   0          1
BAD_LOCK_OBJECT_LOCK_SOURCE_STAT                                              0          1
NON_STATIC_GUARDING_STATIC_STAT                                               0          1
VOLATILE_ATOMICITY_STAT                                                       0          1
CODEXM_FUNCTIONS_STAT_PASS                                                    0          1
DTOR_EMPTINESS_STAT                                                           0          1
MOVE_ASSIGN_STAT                                                              0          1
BUILD_SINK_TYPE_GRAPH                                                         0          1
DERIVE_EL_BEAN_RW                                                             0          1
DERIVE_DYNAMIC_MAP_RW_ACCESSES                                                0          1
RELAX_CSRF_FILTERS                                                            0          1
FRAMEWORK_ANALYSIS_SPRING                                                     0          1
WEBFORMS_DOM                                                                  0          1
RAZOR_SECTIONS                                                                0          1
BUILD_STRING_GRAPH                                                            0          1
  BUILD_STRING_GRAPH_MODELS                                                   0          1
  BUILD_STRING_GRAPH_JSP                                                      0          1
  STRING_GRAPH_DYNAMIC_MAP                                                    0          1
__HEADER_INJECTION_BUDA_STATICS_NO_BUDA_CALLGRAPH                             0          1
__HEADER_INJECTION_BUDA_STATICS_NO_BUDA_CALLGRAPH2                            0          1
__NOSQL_QUERY_INJECTION_BUDA_STATICS_NO_BUDA_CALLGRAPH                        0          1
__PATH_MANIPULATION_BUDA_STATICS_NO_BUDA_CALLGRAPH                            0          1
__TAINTED_ENVIRONMENT_WITH_EXECUTION_BUDA_STATICS_NO_BUDA_CALLGRAPH           0          1
__TEMPLATE_INJECTION_BUDA_STATICS_NO_BUDA_CALLGRAPH                           0          1
__URL_MANIPULATION_BUDA_STATICS_NO_BUDA_CALLGRAPH                             0          1
__UNSAFE_DESERIALIZATION_BUDA_STATICS                                         0          1
__XSS_BUDA_STATICS_NO_BUDA_CALLGRAPH                                          0          1
__WEAK_PASSWORD_HASH_BUDA_STATICS                                             0          1
__HARDCODED_CREDENTIALS_BUDA_STATICS                                          0          1
__HARDCODED_CREDENTIALS_BUDA_STATICS_NO_CALLGRAPH                             0          1
__XML_EXTERNAL_ENTITY_BUDA_STATICS                                            0          1
__XML_EXTERNAL_ENTITY_BUDA_JAVA_DOTNET                                        0          1
__INSECURE_COMMUNICATION_ABSTRACT_INTERPRETATION_pass1                        0          1
__INSECURE_COMMUNICATION_ABSTRACT_INTERPRETATION_pass2                        0          1
__INSECURE_RANDOM_BUDA_STATICS                                                0          1
__OPEN_REDIRECT_BUDA_STATICS                                                  0          1
__OS_CMD_INJECTION_BUDA_STATICS                                               0          1
__PATH_MANIPULATION_BUDA_STATICS                                              0          1
__RISKY_CRYPTO_BUDA_STATICS                                                   0          1
__SENSITIVE_DATA_LEAK_BUDA_STATICS                                            0          1
__SQLI_BUDA_STATICS                                                           0          1
__UNENCRYPTED_SENSITIVE_DATA_BUDA_STATICS                                     0          1
__UNENCRYPTED_SENSITIVE_DATA_BUDA_STATICS_NO_CALLGRAPH                        0          1
__URL_MANIPULATION_BUDA_STATICS                                               0          1
__INSUFFICIENT_LOGGING_BUDA_STATICS                                           0          1
__MOBILE_ID_MISUSE_BUDA_STATICS                                               0          1
UNRESTRICTED_ACCESS_TO_FILE_BUDA_STATICS                                      0          1
AUTHZ_STAT                                                                    0          1
CSRF_STAT                                                                     0          1
PREDICTABLE_RANDOM_SEED                                                       0          1
MISSING_PERMISSION_ON_EXPORTED_COMPONENT                                      0          1
EL_INJECTION                                                                  0          1
__HEADER_INJECTION_STATICS                                                    0          1
JAVA_CODE_INJECTION                                                           0          1
JCR_INJECTION                                                                 0          1
JSP_DYNAMIC_INCLUDE                                                           0          1
JSP_SQL_INJECTION                                                             0          1
LDAP_INJECTION                                                                0          1
__NOSQL_QUERY_INJECTION_STATICS                                               0          1
OGNL_INJECTION                                                                0          1
__REGEX_INJECTION_STATICS                                                     0          1
__SCRIPT_CODE_INJECTION_STATICS                                               0          1
SESSION_FIXATION                                                              0          1
TRUST_BOUNDARY_VIOLATION                                                      0          1
UNKNOWN_LANGUAGE_INJECTION                                                    0          1
UNRESTRICTED_DISPATCH                                                         0          1
__UNSAFE_DESERIALIZATION_STATICS                                              0          1
UNSAFE_JNI                                                                    0          1
UNSAFE_NAMED_QUERY                                                            0          1
__XPATH_INJECTION_STATICS                                                     0          1
__UNSAFE_REFLECTION_STATICS                                                   0          1
__TAINTED_ENVIRONMENT_WITH_EXECUTION_STATICS                                  0          1
DATAFLOW_INJECTION                                                            0          1
__INSECURE_RANDOM_STRING_GRAPH                                                0          1
__OS_CMD_INJECTION_STRING_GRAPH                                               0          1
__PATH_MANIPULATION_STRING_GRAPH                                              0          1
__URL_MANIPULATION_STRING_GRAPH                                               0          1
__SENSITIVE_DATA_LEAK_STRING_GRAPH                                            0          1
__SQLI_STRING_GRAPH                                                           0          1
__TAINT_ASSERT_STRING_GRAPH                                                   0          1
__UNENCRYPTED_SENSITIVE_DATA_STRING_GRAPH                                     0          1
WEAK_GUARD_DATAFLOW_INJECTION                                                 0          1
__WEAK_GUARD_STRING_GRAPH                                                     0          1
__WEAK_PASSWORD_HASH_STRING_GRAPH                                             0          1
__XML_EXTERNAL_ENTITY_STRING_GRAPH                                            0          1
ANDROID_CAPABILITY_LEAK                                                       0          1
__CSRF_JAVA_CSHARP_pass1                                                      0          1
__CSRF_JAVA_CSHARP_pass2                                                      0          1
__HARDCODED_CREDENTIALS_STRING_GRAPH                                          0          1
__OPEN_REDIRECT_STRING_GRAPH                                                  0          1
__MOBILE_ID_MISUSE_STRING_GRAPH                                               0          1
UNLOGGED_SECURITY_EXCEPTION_pass1                                             0          1
UNLOGGED_SECURITY_EXCEPTION_pass2                                             0          1
UNRESTRICTED_ACCESS_TO_FILE_STRING_GRAPH                                      0          1
__XSS_STRING_GRAPH                                                            0          1
DATAFLOW_CALLGRAPH_CHECKER                                                    0          1
BUDA_DIRECTIVES_TYPE_INFERENCE_CHECKER                                        0          1
__REGEX_INJECTION_BUDA                                                        0          1
__PATH_MANIPULATION_BUDA_JS                                                   0          1
__OS_CMD_INJECTION_BUDA                                                       0          1
__URL_MANIPULATION_BUDA_DYNAMICS                                              0          1
__XSS_BUDA                                                                    0          1
__SCRIPT_CODE_INJECTION_CLIENT_BUDA_STATICS                                   0          1
__HARDCODED_CREDENTIALS_BUDA_DYNAMICS                                         0          1
UNCHECKED_ORIGIN                                                              0          1
MISSING_IFRAME_SANDBOX                                                        0          1
__RISKY_CRYPTO_BUDA                                                           0          1
__INSUFFICIENT_LOGGING_BUDA_DYNAMICS                                          0          1
__XML_EXTERNAL_ENTITY_BUDA_DYNAMICS                                           0          1
COOKIE_INJECTION                                                              0          1
__SCRIPT_CODE_INJECTION_BUDA_NONJS                                            0          1
DOM_XSS                                                                       0          1
LOCALSTORAGE_MANIPULATION                                                     0          1
__TAINTED_ENVIRONMENT_WITH_EXECUTION_BUDA                                     0          1
__UNSAFE_DESERIALIZATION_BUDA                                                 0          1
__TEMPLATE_INJECTION_BUDA_DYNAMICS_JSON                                       0          1
__XPATH_INJECTION_BUDA_STATICS                                                0          1
__HEADER_INJECTION_BUDA                                                       0          1
UNRESTRICTED_MESSAGE_TARGET                                                   0          1
__SENSITIVE_DATA_LEAK_BUDA_DYNAMICS                                           0          1
__INSECURE_RANDOM_BUDA_DYNAMICS                                               0          1
__MISSING_AUTHZ_BUDA_STATS                                                    0          1
__HEADER_INJECTION_JS                                                         0          1
__PATH_MANIPULATION_BUDA_NONJS                                                0          1
__SCRIPT_CODE_INJECTION_BUDA_JS                                               0          1
__NOSQL_QUERY_INJECTION_BUDA                                                  0          1
SESSIONSTORAGE_MANIPULATION                                                   0          1
CSS_INJECTION                                                                 0          1
ANGULAR_EXPRESSION_INJECTION                                                  0          1
SYMFONY_EL_INJECTION                                                          0          1
__PATH_MANIPULATION_BUDA_STATICS_BUDA_CALLGRAPH                               0          1
__REGEX_INJECTION_BUDA_STATICS                                                0          1
CODEXM_BUDA_CHECKER                                                           0          1
__OPEN_REDIRECT_BUDA_DYNAMICS                                                 0          1
__SQLI_BUDA_DYNAMICS                                                          0          1
__CSRF_BUDA                                                                   0          1
__INSECURE_SALT_BUDA                                                          0          1
__UNSAFE_REFLECTION_BUDA                                                      0          1
__MISSING_AUTHZ_BUDA                                                          0          1
PW_INFRASTRUCTURE                                                             0          1
BAD_OVERRIDE                                                                  0          1
MISSING_MOVE_ASSIGNMENT                                                       0          1
CODEXM_DECLS_STAT_PASS                                                        0          1
CODEXM_TEXT_STAT_PASS                                                         0          1
CODEXM_CLASSES_STAT_PASS                                                      0          1
CONFIG.MISSING_CUSTOM_ERROR_PAGE                                              0          1
__CONFIG.UNSAFE_SESSION_TIMEOUT_JAVA                                          0          1
CONFIG.SPRING_SECURITY_SESSION_FIXATION                                       0          1
CONFIG.SPRING_SECURITY_REMEMBER_ME_HARDCODED_KEY                              0          1
CONFIG.STRUTS2_CONFIG_BROWSER_PLUGIN                                          0          1
CONFIG.HANA_XS_PREVENT_XSRF_DISABLED                                          0          1
CONFIG.ATS_INSECURE                                                           0          1
CONFIG.SYMFONY_CSRF_PROTECTION_DISABLED                                       0          1
ANDROID_DEBUG_MODE                                                            0          1
CONFIG.COOKIES_MISSING_HTTPONLY                                               0          1
CONFIG.DEAD_AUTHORIZATION_RULE                                                0          1
__CONFIG.ENABLED_DEBUG_MODE_DOTNET                                            0          1
CONFIG.ENABLED_TRACE_MODE                                                     0          1
CONFIG.ASP_VIEWSTATE_MAC                                                      0          1
CONFIG.ASPNET_VERSION_HEADER                                                  0          1
CONFIG.DUPLICATE_SERVLET_DEFINITION                                           0          1
CONFIG.DWR_DEBUG_MODE                                                         0          1
CONFIG.DYNAMIC_DATA_HTML_COMMENT                                              0          1
CONFIG.JAVAEE_MISSING_HTTPONLY                                                0          1
__CONFIG.SPRING_SECURITY_DEBUG_MODE_JAVA                                      0          1
CONFIG.SPRING_SECURITY_HARDCODED_CREDENTIALS                                  0          1
CONFIG.STRUTS2_DYNAMIC_METHOD_INVOCATION                                      0          1
CONFIG.STRUTS2_ENABLED_DEV_MODE                                               0          1
CONFIG.CONNECTION_STRING_PASSWORD                                             0          1
CONFIG.HTTP_VERB_TAMPERING                                                    0          1
CODEXM_FUNCTIONS_CHECKER_PASS_AFTER_TUS                                       0          1
OVERLAPPING_COPY                                                              0          1
UNCAUGHT_EXCEPT                                                               0          1
CODEXM                                                                      127          1
  parseBuiltinCheckers                                                      127          1
CONFIG.ANDROID_BACKUPS_ALLOWED                                                0          1
CONFIG.ANDROID_OUTDATED_TARGETSDKVERSION                                      0          1
CONFIG.ANDROID_UNSAFE_MINSDKVERSION                                           0          1
ANDROID_WEBVIEW_FILEACCESS                                                    0          1
ANGULAR_SCE_DISABLED                                                          0          1
AWS_SSL_DISABLED                                                              0          1
AWS_VALIDATION_DISABLED                                                       0          1
__BAD_CERT_VERIFICATION_CODEXM                                                1          3
__BAD_CERT_VERIFICATION_CODEXM_JS                                             0          1
BUSBOY_MISCONFIGURATION                                                       0          1
__CONFIG.UNSAFE_SESSION_TIMEOUT_CODEXM_JS                                     0          4
CONFIG.COOKIE_SIGNING_DISABLED                                                0          1
CONFIG.CORDOVA_EXCESSIVE_LOGGING                                              0          1
CONFIG.CORDOVA_PERMISSIVE_WHITELIST                                           0          1
__CORS_MISCONFIGURATION_CODEXM_JAVA                                           0          2
__CORS_MISCONFIGURATION_CODEXM_JS                                             0          2
CSRF_MISCONFIGURATION_HAPI_CRUMB                                              0          1
CONFIG.CSURF_IGNORE_METHODS                                                   0          1
CUSTOM_KEYBOARD_DATA_LEAK                                                     0          2
DISABLED_ENCRYPTION                                                           0          1
EXPOSED_DIRECTORY_LISTING_HAPI_INERT                                          0          1
EXPRESS_SESSION_UNSAFE_MEMORYSTORE                                            0          1
UNLESS_CASE_SENSITIVE_ROUTE_MATCHING                                          0          1
FILE_UPLOAD_MISCONFIGURATION                                                  0          1
HAPI_SESSION_MONGO_MISSING_TLS                                                0          1
__HARDCODED_CREDENTIALS_URL                                                   0          1
HPKP_MISCONFIGURATION                                                         0          1
INSECURE_HTTP_FIREWALL                                                        0          1
INSECURE_MULTIPEER_CONNECTION                                                 0          1
INSUFFICIENT_PRESIGNED_URL_TIMEOUT                                            0          2
JSONWEBTOKEN_UNTRUSTED_DECODE                                                 0          1
JSONWEBTOKEN_IGNORED_EXPIRATION_TIME                                          0          1
CONFIG.JSONWEBTOKEN_NON_EXPIRING_TOKEN                                        0          1
MISSING_HEADER_VALIDATION                                                     0          1
MULTER_MISCONFIGURATION                                                       0          1
__REVERSE_TABNABBING_CODEXM_JS                                                0          1
__RISKY_CRYPTO_CODEXM                                                         0          2
__RISKY_CRYPTO_JS_CODEXM                                                      0          1
CONFIG.SEQUELIZE_INSECURE_CONNECTION                                          0          1
CONFIG.SEQUELIZE_ENABLED_LOGGING                                              0          1
__INSECURE_COMMUNICATION_SOCKETIO                                             0          1
CONFIG.SOCKETIO_MAXHTTPBUFFERSIZE_SET_TOO_LARGE                               0          1
CONFIG.SOCKETIO_ORIGINS_ACCEPT_ALL                                            0          1
CONFIG.SPRING_BOOT_SENSITIVE_LOGGING                                          0          1
__CONFIG.SPRING_SECURITY_DEBUG_MODE_CODEXM_JAVA                               0          1
CONFIG.SPRING_SECURITY_EXPOSED_SESSIONID                                      0          1
CONFIG.SPRING_SECURITY_UNSAFE_AUTHENTICATION_FILTER                           0          1
TEMPORARY_CREDENTIALS_DURATION                                                0          1
UNLIMITED_CONCURRENT_SESSIONS                                                 0          1
WEAK_BIOMETRIC_AUTH                                                           0          1
__CONFIG.MISSING_GLOBAL_EXCEPTION_HANDLER_CODEXM_JS                           0          1
EXPRESS_X_POWERED_BY_ENABLED                                                  0          1
CUDA.CUDEVICE_HANDLES                                                         0          1
CUDA.FORK                                                                     0          1
CUDA.COLLECTIVE_WARP_SHUFFLE_WIDTH                                            0          1
CUDA.ERROR_KERNEL_LAUNCH                                                      0          1
CUDA.SYNCHRONIZE_TERMINATION                                                  0          1
CUDA.DEVICE_DEPENDENT                                                         0          1
CUDA.DEVICE_DEPENDENT_CALLBACKS                                               0          1
CUDA.ERROR_INTERFACE                                                          0          1
CUDA.INITIATION_OBJECT_DEVICE_THREAD_BLOCK                                    0          1
